name,chain,volume,mkt_cap,floor,avg_price,sales,assets,owners,percent_owners,address,royalties
PATHFINDERS,Ethereum,0,58.33,0.02,0,0,3218,1076,33.44,0x11ffb640e11d6b7905a85d9682f8af0fd3b365bd,1000
BEANS - Dumb Ways to Die,Ethereum,1.3529,786.55,0.0689,0.08456,16,10000,3794,37.94,0x48355ce6ba377d06335be9499feaf735948484bc,690
Feline Fiendz,Ethereum,2.2749,764.56,0.084,0.0875,26,7777,3927,50.5,0xacfa101ece167f1894150e090d9471aee2dd3041,750
Tripsters,Ethereum,7.0084,689.4,0.1198,0.1149,61,5554,2392,43.07,0xc7457f480416e145093edb355f626faa0fc7f90e,750
Monster Suit,Ethereum,1.1865,434.31,0.033,0.0791,15,4084,1505,36.85,0xabdfb84dae7923dd346d5b1a0c6fbbb0e6e5df64,750
Kindergarten BabyApes,Ethereum,0.029,174.39,0.009,0.009666,3,10000,5378,53.78,0x45359616610a584cc39aecdcbb2a457976780023,500
3Landers,Ethereum,31.1,8616.39,0.78,0.8185,38,10000,6123,61.23,0xb4d06d46a8285f4ec79fd294f78a881799d8ced9,650
CrazySkullz,Ethereum,0,250.25,0.03,0,0,10010,2818,28.15,0x3a4ca1c1bb243d299032753fdd75e8fec1f0d585,1000
Neon Junkies,Ethereum,0,41.11,0.004,0,0,9135,2929,32.06,0x2e956ed3d7337f4ed4316a6e8f2edf74bf84bb54,450
The Uncanny Country Club,Ethereum,47.67,897.57,0.1575,0.2756,173,5000,1780,35.6,0xf4eac65bbc94e3be2e3674992c31781032a6d793,500
Droplets,Ethereum,0.0548,120.76,0.0098,0.0137,4,6500,3297,50.72,0xbb8b5f8e8e5d3cfdd1afcdd43640844c463d7f93,650
Unusual Guests,Ethereum,0,20.39,0.0075,0,0,2146,584,27.21,0x6fd3fe10d2cd28aecf1ff4153e8d3a80d077ada9,500
Elftown.wtf,Ethereum,1161.54,1225.17,0.159,0.1895,6129,9987,4656,46.62,0x5eaeadda470245343249452e744e423f489abbc4,500
The Sevens Eve,Ethereum,0.25,419.61,0.0175,0.25,1,7259,3310,45.6,0xc3cd69649394bf1a18a7a0c7f90e4d0e4f1a9758,500
Rowdy Roos,Ethereum,0.1,458.07,0.02,0.1,1,9999,3748,37.48,0xca49b939ad0b0b148fa61641d799e7777ad2e5db,500
Knights of Chain,Ethereum,0.1434,49.01,0.0048,0.004217,34,5490,1686,30.71,0x0e116154d53c89803af778aed251103096b7a67d,1000
Boki,Ethereum,151.44,2718.64,0.28,0.439,345,7777,3730,47.96,0x248139afb8d3a2e16154fbe4fb528a3a214fd8e7,500
AIMoonbirds,Ethereum,104.96,2167.09,0.17,0.2205,476,10000,4643,46.43,0x64b6b4142d4d78e49d53430c1d3939f2317f9085,250
Super Ordinary Villains,Ethereum,0.5664,298.34,0.025,0.0354,16,8888,4379,49.27,0xe24e4d4535f504d6d7957356534e23b4e787289f,700
C86 Cyborg,Ethereum,0.027,240.8,0.022,0.027,1,8600,3783,43.99,0xf1536ab2dd1fc1da5d77fec3ce29537f6ef0634b,1000
Pokey Universe,Ethereum,7.336,121.95,0.0069,0.01254,585,6970,1914,27.46,0x8168d5bc7cb4892d257d7b09ad96d1a7d7657ec6,600
ApeDads,Ethereum,0.059,98.87,0.0179,0.01967,3,4000,2188,54.7,0x6468f4243faa8c3330baaa0a7a138e2e5628c6f5,750
CryptoBatz by Ozzy Osbourne,Ethereum,1.4789,1472.66,0.11,0.1138,13,9666,6431,66.53,0xc8adfb4d437357d0a656d4e62fd9a6d22e401aa0,750
Sugar Skullz,Ethereum,0.6886,43.62,0.002,0.06886,10,7994,1435,17.95,0x2eb4f7625aad8c521e3600ee38fb8f82751e8870,1000
Timeless Ape Club,Ethereum,0.18,95.63,0.022,0.01636,11,5562,2513,45.18,0xd95c08db87628febfc551c1ff1cfc9fe1269ef9c,500
Dreadfulz,Ethereum,0.1229,253.69,0.025,0.02458,5,7777,1245,16.01,0x81ae0be3a8044772d04f32398bac1e1b4b215aa8,750
Bored Bad Bunny,Ethereum,0.01,125.06,0.009,0.01,1,10631,6977,65.63,0x96f98c60c04ba6fe47b3315e3689b270b3952e26,1000
Apes Together Strong,Ethereum,1.489,590.8,0.11,0.1489,10,4443,885,19.92,0x7cb90567a118cd9f6ca326067a0813b289bdcb54,750
Space Boo,Ethereum,0.187,256.91,0.024,0.0374,5,8887,4379,49.27,0xf8d4fef9af82de6e57f6aabafd49ff9730242d75,750
EtherGals,Ethereum,0.04,170.03,0.009,0.01,4,5536,2324,41.98,0xd87ca9651cdade60cc0b031c2731aeb5aa722fb3,500
Paradise Trippies,Ethereum,0.1169,678.84,0.02,0.02923,4,10000,1950,19.5,0x4ca4d3b5b01207ffce9bea2db9857d4804aa89f3,250
Outkast,Ethereum,0.222,629.16,0.04,0.0555,4,9909,2927,29.54,0x1c5ed03149b1fd5efe12828a660c7b892c111ba4,500
More Than Gamers,Ethereum,0.965,1272.87,0.082,0.0965,10,10100,3114,30.83,0x49907029e80de1cbb3a46fd44247bf8ba8b5f12f,600
Squid Game Card,Ethereum,0,0,0.0299,0,0,9576,348,3.63,0xbe5c953dd0ddb0ce033a98f36c981f1b74d3b33f,0
